,issue_date,contractor_company_name,latitude,longitude
0,2023-03-30,Double AA Plumbing,30.23550963,-97.72819422
1,2023-03-29,"Wilkins Electric, Inc.",30.26353735,-97.80126705
2,2023-03-29,Tony's Roofing Services,30.22393759,-97.69293985
3,2023-03-29,Ben's Sprinkler,30.29664257,-97.76627641
4,2023-03-29,Diamond Plumbing,30.32161467,-97.74026569
5,2023-03-29,Houk Air Conditioning,30.36329031,-97.73358847
6,2023-03-29,Dawson Lupul Builders *MAIN*,30.34081463,-97.72858481
7,2023-03-29,"IES Residential, Inc.",30.34381041,-97.73797574
8,2023-03-29,Touchstone Plumbing Inc.,30.33621,-97.72544641
9,2023-03-29,CA Design Build LLC aba CADB Catalyst Construction Group LLC,30.28586629,-97.7441036
10,2023-03-29,"In Charge Electrical Services, LLC",30.32851043,-97.58271268
11,2023-03-29,Austin Air Conditioning Inc,30.34613413,-97.77601688
12,2023-03-29,"Taylor Morrison of Texas, Inc.",30.39745891,-97.62083796
13,2023-03-29,"Taylor Morrison of Texas, Inc.",30.39756846,-97.62107602
14,2023-03-29,"Taylor Morrison of Texas, Inc.",30.39765495,-97.62087369
15,2023-03-29,PRIDE PLUMBING SERVICES LLC,30.39895244,-97.69992119
16,2023-03-29,Mezger Homes,30.36285871,-97.74624859
17,2023-03-29,Harlan Mac Construction LLC **MAIN**,30.23432809,-97.77037483
18,2023-03-29,East Side Environmental Air,30.31018894,-97.70377313
19,2023-03-29,PRIDE PLUMBING SERVICES LLC,30.24978767,-97.79066671
20,2023-03-29,Thunderbolt Electric LLC,30.29219891,-97.706729
21,2023-03-29,Sunny Estates Custom Builders LLC,30.30506458,-97.7197552
22,2023-03-29,"Urbane Roost Custom Homes, LLC",30.27504886,-97.72334369
23,2023-03-29,Cutters Landscaping,30.42105435,-97.7370352
24,2023-03-29,Christianson Plumbing & Air Co,30.38650391,-97.62070516
25,2023-03-29,Nueva Era Plumbing  Services LLC,30.39362649,-97.64758712
26,2023-03-29,"Accessory Dwellings Unlimited, LLC",30.29790932,-97.7532066
27,2023-03-29,"In Charge Electrical Services, LLC",30.30585274,-97.65757727
28,2023-03-29,CHRISTIANSON PLUMBING,30.29098799,-97.69170459
29,2023-03-29,Casa Mechanical Services,30.1315753,-97.80624826
30,2023-03-29,Intelligent Air Services,30.34559469,-97.75991273
31,2023-03-29,HM Plumbing LLC,30.23642567,-97.74965774
32,2023-03-29,Air Temp Solutions,30.28902187,-97.55083579
33,2023-03-29,Dosey Pro Electrical,30.42847366,-97.79041511
34,2023-03-29,A Plus PCS Plumbing Co,30.22221673,-97.69832337
35,2023-03-29,Austin Air Conditioning Inc,30.18863327,-97.7926686
36,2023-03-29,Capital City Electric LLC,30.29259701,-97.70200217
37,2023-03-29,Airtron,30.33882439,-97.73582053
38,2023-03-29,Demoss Plumbing Inc,30.19723683,-97.70844003
39,2023-03-29,Paradigm Plumbing Partners,30.37012115,-97.74318957
40,2023-03-29,ROD Plumbing,30.26653034,-97.73115299
41,2023-03-29,ET Plumbing,30.42600296,-97.79273044
42,2023-03-29,A Plus PCS Plumbing Co,30.22221673,-97.69832337
43,2023-03-29,Cool Services Inc.,30.26586964,-97.74483634
44,2023-03-29,Texas Tiny Pools,30.3426666,-97.74834071
45,2023-03-29,Thunderbolt Electric LLC,30.37731368,-97.76908058
46,2023-03-29,"Titan Siding, Windows and Exteriors",30.20402538,-97.83143505
47,2023-03-29,Epic Mechanical Inc.,30.24345335,-97.74315012
49,2023-03-29,Magnify Electric,30.402931,-97.67558356
50,2023-03-29,PowerHouse Electrical Services,30.40292236,-97.61971964
51,2023-03-29,S and S Electrical Services,30.48915162,-97.76953628
52,2023-03-29,Weifield Group Contracting Texas LLC,30.20200809,-97.6668813
53,2023-03-29,"Full Circuit Services, Inc.",30.2268757,-97.78461889
54,2023-03-29,Austin Welder & Generator Service Inc,30.22124773,-97.72407224
55,2023-03-29,Abraham The Plumber,30.3720938,-97.78302674
56,2023-03-29,"Protex Plumbing & Mechanical, LP",30.10699217,-97.7816609
57,2023-03-29,"Watt Texas LLC, DBA Edge Electric Inc",30.27058401,-97.74144944
58,2023-03-29,Serenity Roofing & Construction,30.25460159,-97.76602551
59,2023-03-29,Solomon Electrical Contracting LLC,30.24582069,-97.77831234
60,2023-03-29,JPI Electric of Austin LLC,30.14520431,-97.71843197
61,2023-03-29,"Accessory Dwellings Unlimited, LLC",30.29790932,-97.7532066
62,2023-03-29,GreenwiZe Plumbing,30.41558178,-97.737611
63,2023-03-29,SMART CHARGE AMERICA,30.34658524,-97.76762058
64,2023-03-29,6B Plumbing,30.2673047,-97.6953152
65,2023-03-29,Airtron,30.29195847,-97.66922953
66,2023-03-29,Ashik Enterprises Inc.,30.24582069,-97.77831234
67,2023-03-29,Denucci Electric,30.40970761,-97.75811556
68,2023-03-29,"Protex Plumbing & Mechanical, LP",30.1072792,-97.78115986
69,2023-03-29,Allison Electric,30.4224745,-97.80109057
70,2023-03-29,Victory Plumbing,30.15231434,-97.7114639
72,2023-03-29,6B Plumbing,30.2673047,-97.6953152
73,2023-03-29,SMART CHARGE AMERICA,30.30661125,-97.78440539
74,2023-03-29,Abraham The Plumber,30.40805335,-97.76491213
75,2023-03-29,6B Plumbing,30.2673047,-97.6953152
76,2023-03-29,Joseph Stippick,30.26451621,-97.71571688
77,2023-03-29,Renaissance Contracting LLC,30.35540664,-97.69421224
78,2023-03-29,D.A.S Electric,30.35806984,-97.74159128
79,2023-03-29,Tetco Mechanical,30.30391139,-97.72741593
80,2023-03-29,6B Plumbing,30.2673047,-97.6953152
81,2023-03-29,Austin Welder & Generator Service Inc,30.34288432,-97.79725961
82,2023-03-29,SMART CHARGE AMERICA,30.46592294,-97.7679192
83,2023-03-29,6B Plumbing,30.2673047,-97.6953152
84,2023-03-29,Solomon Electrical Contracting LLC,30.32282273,-97.73975451
85,2023-03-29,Setpoint Refrigeration LLC,30.35083267,-97.78200325
86,2023-03-29,CHRISTIANSON PLUMBING,30.18778199,-97.90599572
87,2023-03-29,Radiant Plumbing and Air Conditioning Inc,30.18135298,-97.80348708
88,2023-03-29,Swedlund Electric Inc.,30.45719278,-97.78196802
89,2023-03-29,Airco Mechanical,30.4045869,-97.85165183
90,2023-03-29,Power HRG,30.15590893,-97.84976404
91,2023-03-29,Radiant Plumbing and Air Conditioning Inc,30.30603062,-97.69722352
92,2023-03-29,SMART CHARGE AMERICA,30.21998611,-97.69871992
93,2023-03-29,G3 Plumbing,30.43514627,-97.65506989
94,2023-03-29,"Austin Lanehart Electric Co., Inc.",30.15560594,-97.72557213
95,2023-03-29,RWB RENOVATIONS LLC DBA REBATH OF AUSTIN,30.21435377,-97.84235549
96,2023-03-29,Fisk Electric Company,30.32265262,-97.71218676
97,2023-03-29,Alba Energy LLC,30.29299945,-97.54895572
98,2023-03-29,LM Utilities LLC,30.32720155,-97.75039418
99,2023-03-29,Radiant Plumbing & Air Conditioning Inc,,
